text,label
"New worker just arrived in Delhi from village. Handler manages phone, cash only, no police, room included.",TRAFFICKING
"Fresh girl in Mumbai, no family here, manager handles booking, private entry, leaving tomorrow.",TRAFFICKING
"Young and new person in Kolkata, cash only, no questions, handler controls all travel.",TRAFFICKING
"Village girl brought to Chennai, no papers, supervised by agent, room included, private booking.",TRAFFICKING
"First time in Bangalore, handler manages all calls, cash only, back door entry.",TRAFFICKING
"New to this city in Hyderabad, no family here, no police, service charge fixed by manager.",TRAFFICKING
"Just arrived in Ahmedabad from village, supervised travel, cash only, secret booking.",TRAFFICKING
"Fresh girl in Pune, manager handles phone, private room included, no questions.",TRAFFICKING
"New worker in Surat, handler controls transport, no papers, cash only.",TRAFFICKING
"Young and new in Patna, no family here, leaving tomorrow, no police.",TRAFFICKING
"Village girl in Guwahati, agent manage, room included, private entry.",TRAFFICKING
"Just arrived in Siliguri, handler controls booking, limited Hindi, cash only.",TRAFFICKING
"First time in Varanasi, no papers, no questions, manager handles meeting.",TRAFFICKING
"New to Lucknow, handler manages phone, cash only, discreet arrival.",TRAFFICKING
"Fresh girl in Agra, no family here, room included, back door entry.",TRAFFICKING
"Young and new in Jaipur, supervised by manager, no police, cash only.",TRAFFICKING
"Just arrived in Bhopal, no papers, private booking, handler controls travel.",TRAFFICKING
"Village girl in Indore, manager handles all calls, no questions, leaving tomorrow.",TRAFFICKING
"New to Nagpur, handler manages booking, cash only, secret entry.",TRAFFICKING
"First time in Raipur, no family here, no police, room included.",TRAFFICKING
